1	Newark Airport	0000-00-00
2	Jamaica Bay	0000-00-00
3	Allerton/Pelham Gardens	0000-00-00
4	Alphabet City	0000-00-00
5	Arden Heights	0000-00-00
6	Arrochar/Fort Wadsworth	0000-00-00
7	Astoria	0000-00-00
8	Astoria Park	0000-00-00
9	Auburndale	0000-00-00
10	Baisley Park	0000-00-00
11	Bath Beach	0000-00-00
12	Battery Park	0000-00-00
13	Battery Park City	0000-00-00
14	Bay Ridge	0000-00-00
15	Bay Terrace/Fort Totten	0000-00-00
16	Bayside	0000-00-00
17	Bedford	0000-00-00
18	Bedford Park	0000-00-00
19	Bellerose	0000-00-00
20	Belmont	0000-00-00
21	Bensonhurst East	0000-00-00
22	Bensonhurst West	0000-00-00
23	Bloomfield/Emerson Hill	0000-00-00
24	Bloomingdale	0000-00-00
25	Boerum Hill	0000-00-00
26	Borough Park	0000-00-00
27	Breezy Point/Fort Tilden/Riis Beach	0000-00-00
28	Briarwood/Jamaica Hills	0000-00-00
29	Brighton Beach	0000-00-00
30	Broad Channel	0000-00-00
31	Bronx Park	0000-00-00
32	Bronxdale	0000-00-00
33	Brooklyn Heights	0000-00-00
34	Brooklyn Navy Yard	0000-00-00
35	Brownsville	0000-00-00
36	Bushwick North	0000-00-00
37	Bushwick South	0000-00-00
38	Cambria Heights	0000-00-00
39	Canarsie	0000-00-00
40	Carroll Gardens	0000-00-00
41	Central Harlem	0000-00-00
42	Central Harlem North	0000-00-00
43	Central Park	0000-00-00
44	Charleston/Tottenville	0000-00-00
45	Chinatown	0000-00-00
46	City Island	0000-00-00
47	Claremont/Bathgate	0000-00-00
48	Clinton East	0000-00-00
49	Clinton Hill	0000-00-00
50	Clinton West	0000-00-00
51	Co-Op City	0000-00-00
52	Cobble Hill	0000-00-00
53	College Point	0000-00-00
54	Columbia Street	0000-00-00
55	Coney Island	0000-00-00
56	Corona	0000-00-00
56	Corona	0000-00-00
58	Country Club	0000-00-00
59	Crotona Park	0000-00-00
60	Crotona Park East	0000-00-00
61	Crown Heights North	0000-00-00
62	Crown Heights South	0000-00-00
63	Cypress Hills	0000-00-00
64	Douglaston	0000-00-00
65	Downtown Brooklyn/MetroTech	0000-00-00
66	DUMBO/Vinegar Hill	0000-00-00
67	Dyker Heights	0000-00-00
68	East Chelsea	0000-00-00
69	East Concourse/Concourse Village	0000-00-00
70	East Elmhurst	0000-00-00
71	East Flatbush/Farragut	0000-00-00
72	East Flatbush/Remsen Village	0000-00-00
73	East Flushing	0000-00-00
74	East Harlem North	0000-00-00
75	East Harlem South	0000-00-00
76	East New York	0000-00-00
77	East New York/Pennsylvania Avenue	0000-00-00
78	East Tremont	0000-00-00
79	East Village	0000-00-00
80	East Williamsburg	0000-00-00
81	Eastchester	0000-00-00
82	Elmhurst	0000-00-00
83	Elmhurst/Maspeth	0000-00-00
84	Eltingville/Annadale/Prince\'s Bay	0000-00-00
85	Erasmus	0000-00-00
86	Far Rockaway	0000-00-00
87	Financial District North	0000-00-00
88	Financial District South	0000-00-00
89	Flatbush/Ditmas Park	0000-00-00
90	Flatiron	0000-00-00
91	Flatlands	0000-00-00
92	Flushing	0000-00-00
93	Flushing Meadows-Corona Park	0000-00-00
94	Fordham South	0000-00-00
95	Forest Hills	0000-00-00
96	Forest Park/Highland Park	0000-00-00
97	Fort Greene	0000-00-00
98	Fresh Meadows	0000-00-00
99	Freshkills Park	0000-00-00
100	Garment District	0000-00-00
101	Glen Oaks	0000-00-00
102	Glendale	0000-00-00
103	Governor\'s Island/Ellis Island/Liberty Island	0000-00-00
103	Governor\'s Island/Ellis Island/Liberty Island	0000-00-00
103	Governor\'s Island/Ellis Island/Liberty Island	0000-00-00
106	Gowanus	0000-00-00
107	Gramercy	0000-00-00
108	Gravesend	0000-00-00
109	Great Kills	0000-00-00
110	Great Kills Park	0000-00-00
111	Green-Wood Cemetery	0000-00-00
112	Greenpoint	0000-00-00
113	Greenwich Village North	0000-00-00
114	Greenwich Village South	0000-00-00
115	Grymes Hill/Clifton	0000-00-00
116	Hamilton Heights	0000-00-00
117	Hammels/Arverne	0000-00-00
118	Heartland Village/Todt Hill	0000-00-00
119	Highbridge	0000-00-00
120	Highbridge Park	0000-00-00
121	Hillcrest/Pomonok	0000-00-00
122	Hollis	0000-00-00
123	Homecrest	0000-00-00
124	Howard Beach	0000-00-00
125	Hudson Sq	0000-00-00
126	Hunts Point	0000-00-00
127	Inwood	0000-00-00
128	Inwood Hill Park	0000-00-00
129	Jackson Heights	0000-00-00
130	Jamaica	0000-00-00
131	Jamaica Estates	0000-00-00
132	JFK Airport	0000-00-00
133	Kensington	0000-00-00
134	Kew Gardens	0000-00-00
135	Kew Gardens Hills	0000-00-00
136	Kingsbridge Heights	0000-00-00
137	Kips Bay	0000-00-00
138	LaGuardia Airport	0000-00-00
139	Laurelton	0000-00-00
140	Lenox Hill East	0000-00-00
141	Lenox Hill West	0000-00-00
142	Lincoln Square East	0000-00-00
143	Lincoln Square West	0000-00-00
144	Little Italy/NoLiTa	0000-00-00
145	Long Island City/Hunters Point	0000-00-00
146	Long Island City/Queens Plaza	0000-00-00
147	Longwood	0000-00-00
148	Lower East Side	0000-00-00
149	Madison	0000-00-00
150	Manhattan Beach	0000-00-00
151	Manhattan Valley	0000-00-00
152	Manhattanville	0000-00-00
153	Marble Hill	0000-00-00
154	Marine Park/Floyd Bennett Field	0000-00-00
155	Marine Park/Mill Basin	0000-00-00
156	Mariners Harbor	0000-00-00
157	Maspeth	0000-00-00
158	Meatpacking/West Village West	0000-00-00
159	Melrose South	0000-00-00
160	Middle Village	0000-00-00
161	Midtown Center	0000-00-00
162	Midtown East	0000-00-00
163	Midtown North	0000-00-00
164	Midtown South	0000-00-00
165	Midwood	0000-00-00
166	Morningside Heights	0000-00-00
167	Morrisania/Melrose	0000-00-00
168	Mott Haven/Port Morris	0000-00-00
169	Mount Hope	0000-00-00
170	Murray Hill	0000-00-00
171	Murray Hill-Queens	0000-00-00
172	New Dorp/Midland Beach	0000-00-00
173	North Corona	0000-00-00
174	Norwood	0000-00-00
175	Oakland Gardens	0000-00-00
176	Oakwood	0000-00-00
177	Ocean Hill	0000-00-00
178	Ocean Parkway South	0000-00-00
179	Old Astoria	0000-00-00
180	Ozone Park	0000-00-00
181	Park Slope	0000-00-00
182	Parkchester	0000-00-00
183	Pelham Bay	0000-00-00
184	Pelham Bay Park	0000-00-00
185	Pelham Parkway	0000-00-00
186	Penn Station/Madison Sq West	0000-00-00
187	Port Richmond	0000-00-00
188	Prospect-Lefferts Gardens	0000-00-00
189	Prospect Heights	0000-00-00
190	Prospect Park	0000-00-00
191	Queens Village	0000-00-00
192	Queensboro Hill	0000-00-00
193	Queensbridge/Ravenswood	0000-00-00
194	Randalls Island	0000-00-00
195	Red Hook	0000-00-00
196	Rego Park	0000-00-00
197	Richmond Hill	0000-00-00
198	Ridgewood	0000-00-00
199	Rikers Island	0000-00-00
200	Riverdale/North Riverdale/Fieldston	0000-00-00
201	Rockaway Park	0000-00-00
202	Roosevelt Island	0000-00-00
203	Rosedale	0000-00-00
204	Rossville/Woodrow	0000-00-00
205	Saint Albans	0000-00-00
206	Saint George/New Brighton	0000-00-00
207	Saint Michaels Cemetery/Woodside	0000-00-00
208	Schuylerville/Edgewater Park	0000-00-00
209	Seaport	0000-00-00
210	Sheepshead Bay	0000-00-00
211	SoHo	0000-00-00
212	Soundview/Bruckner	0000-00-00
213	Soundview/Castle Hill	0000-00-00
214	South Beach/Dongan Hills	0000-00-00
215	South Jamaica	0000-00-00
216	South Ozone Park	0000-00-00
217	South Williamsburg	0000-00-00
218	Springfield Gardens North	0000-00-00
219	Springfield Gardens South	0000-00-00
220	Spuyten Duyvil/Kingsbridge	0000-00-00
221	Stapleton	0000-00-00
222	Starrett City	0000-00-00
223	Steinway	0000-00-00
224	Stuy Town/Peter Cooper Village	0000-00-00
225	Stuyvesant Heights	0000-00-00
226	Sunnyside	0000-00-00
227	Sunset Park East	0000-00-00
228	Sunset Park West	0000-00-00
229	Sutton Place/Turtle Bay North	0000-00-00
230	Times Sq/Theatre District	0000-00-00
231	TriBeCa/Civic Center	0000-00-00
232	Two Bridges/Seward Park	0000-00-00
233	UN/Turtle Bay South	0000-00-00
234	Union Sq	0000-00-00
235	University Heights/Morris Heights	0000-00-00
236	Upper East Side North	0000-00-00
237	Upper East Side South	0000-00-00
238	Upper West Side North	0000-00-00
239	Upper West Side South	0000-00-00
240	Van Cortlandt Park	0000-00-00
241	Van Cortlandt Village	0000-00-00
242	Van Nest/Morris Park	0000-00-00
243	Washington Heights North	0000-00-00
244	Washington Heights South	0000-00-00
245	West Brighton	0000-00-00
246	West Chelsea/Hudson Yards	0000-00-00
247	West Concourse	0000-00-00
248	West Farms/Bronx River	0000-00-00
249	West Village	0000-00-00
250	Westchester Village/Unionport	0000-00-00
251	Westerleigh	0000-00-00
252	Whitestone	0000-00-00
253	Willets Point	0000-00-00
254	Williamsbridge/Olinville	0000-00-00
255	Williamsburg (North Side)	0000-00-00
256	Williamsburg (South Side)	0000-00-00
257	Windsor Terrace	0000-00-00
258	Woodhaven	0000-00-00
259	Woodlawn/Wakefield	0000-00-00
260	Woodside	0000-00-00
261	World Trade Center	0000-00-00
262	Yorkville East	0000-00-00
263	Yorkville West	0000-00-00
